FirstName,LastName,Phone,Email
John,Doe,1234567890,john.doe@example.com
Jane,Doe,0987654321,jane.doe@example.com
Alice,Smith,1122334455,alice.smith@example.com
Bob,Johnson,2233445566,bob.johnson@example.com
Charlie,Brown,3344556677,charlie.brown@example.com
Diana,Prince,4455667788,diana.prince@example.com
Edward,Scissorhands,5566778899,edward.scissorhands@example.com
Fiona,Shrek,6677889900,fiona.shrek@example.com
George,Jetson,7788990011,george.jetson@example.com
Hannah,Montana,8899001122,hannah.montana@example.com
Igor,Stravinsky,9900112233,igor.stravinsky@example.com
Jack,Sparrow,0011223344,jack.sparrow@example.com
